,GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
201,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
202,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
203,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
204,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
205,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
206,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
207,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
208,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
209,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
210,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
211,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
212,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
213,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
214,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
215,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
216,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
217,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
218,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
219,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
220,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
221,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
222,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
223,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
224,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
225,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
226,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
227,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
228,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
229,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
230,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
231,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
232,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
233,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
